,word,count
0,广州多趣信息技术有限公司,1059
1,互爱互动,35
2,上海广宴网络科技有限公司,2893
3,广州纳山纳草生物科技有限公司,2
4,江苏三九互娱网络科技有限公司,584
5,水杯,1
6,安吉不无竹家居用品有限公司,1
7,上海游跃网络科技有限公司,39
8,湖州无天电子商务有限公司,1
9,游辰网络,1
10,温州拉吉商贸有限公司,51
11,上海游讯信息科技有限公司,12
12,优矩,13271
13,北京金山安全软件有限公司,26
14,涂游在线,9
15,创彩,15
16,平安信用卡,4
17,猎人传奇,5
18,深圳市海角网路网络科技有限公司,66
19,上海百度小额贷款有限公司,7
20,探探文化发展,417
21,剧星,3278
22,广州漫鲸网络科技有限公司,670
23,广州柠游网络科技有限公司,149
24,浙江阿拉丁电子商务股份有限公司,1
25,完美世界,34
26,深圳市快读科技有限公司,23
27,北京星影幻科技有限公司,5
28,北京初见科技有限公司,18
29,上海黑桃互动网络科技股份有限公司,7
30,上海即果信息技术有限公司,5
31,上海韦博文化传播有限公司,1
32,北京淘友天下科技发展有限公司,47
33,广州思进网络科技有限公司,166
34,深圳市分期乐网络科技有限公司,39
35,武汉快游科技有限公司,72
36,广州创超网络科技有限公司,44
37,广州乐推网络科技有限公司,9
38,上海搜尔信息科技有限公司,1
39,深圳君银证券投资咨询顾问有限公司长沙分公司,8
40,派瑞,4334
41,杭州龙泰,20
42,寻梦,14
43,北京昆达天元科技股份有限公司,2
44,江苏汇众网络科技有限公司,260
45,厦门邮速达商务服务有限公司,3
46,上饶市合游一网络科技有限公司,5
47,北京陌陌信息技术有限公司,73
48,深圳市赢众通金融信息服务有限责任公司,9
49,上海熊猫客网络科技有限公司,12
50,武汉极游控科技有限公司,147
51,天津亚克互动科技有限公司,5
52,北京那片海商贸有限公司,1
53,优视科技,31
54,微米,3
55,欧派家居集团股份有限公司,112
56,盐城蓝杰商贸有限公司,2
57,广州米缘网络科技有限公司,163
58,璞毅网络科技,7
59,喜大,1
60,广州北鱼网络科技有限公司,3
61,上海琴莞贸易有限公司,15
62,北京咚漫娱乐有限公司,6
63,广州三七网络科技有限公司,127
64,杭州翰融商贸有限公司,4
65,乐推商城,4
66,啃鱼,2
67,广州力隆开润生物科技有限公司,3
68,上海联粤信息科技有限公司,28
69,上海淘进网络科技有限公司,274
70,杭州源创达贸易有限公司,2
71,魅惠所贸易,8
72,武汉微分享互动科技有限公司,16
73,成都陌陌科技有限公司,10
74,上海猫狼网络科技有限公司,14
75,深圳致奥传媒科技有限公司,2
76,爱空间科技,12
77,北京陌陌科技有限公司,5
78,海南创梦天地科技有限公司,17
79,北京金山安全软件有限公司猎豹安全大师,2
80,海南品效信息科技有限公司,69
81,上海聚市网络科技有限公司,9
82,青稞,186
83,广东星辉天拓互动娱乐有限公司,113
84,深圳市星期天网络科技有限公司,43
85,上海寻梦信息技术有限公司,43
86,广州米娅信息科技有限公司,119
87,广州龙玩文创网络科技有限公司,22
88,激战红名村,2
89,成都众娱科技有限公司,17
90,广州数融互联网小额贷款有限公司,22
91,武汉爪游互娱科技有限公司,56
92,北京柠檬微趣科技股份有限公司,13
93,海南玩嗨互娱网络科技有限公司,10
94,新疆楚汉互娱网络科技有限公司,6
95,头条,1107
96,站内,1088
97,乐推,1559
98,上海,67
99,杭州微米网络科技有限公司,14
100,万圣,2520
101,营销,14
102,号,1389
103,广州龙谷信息科技有限公司,43
104,北京搜狐新媒体信息技术有限公司,9
105,痘博士股份有限公司,13
106,厦门魔兔网络科技有限公司,16
107,上海邑世网络科技有限公司,14
108,赣州快乐生活网络小额贷款有限公司,3
109,江苏嘉趣网络科技有限公司,13
110,马一,14
111,海南点游信息技术有限公司,1237
112,深圳萨摩耶互联网金融服务有限公司,7
113,海南骏比高网络科技有限公司,35
114,广州橙子匠文化传媒有限公司,1
115,北京默契破冰科技有限公司,2
116,宁波海曙蕾恩美容院,2
117,安徽尚趣玩网络科技有限公司,15
118,魅拓信息科技,5
119,中国平安保险集团,34
120,平安普惠融资担保,18
121,上海硬通网络科技有限公司,41
122,广州图灵网络科技有限公司,33
123,润物盟诚,9
124,杭州观眇生物科技有限公司,1
125,变形金刚,2
126,摩邑诚,5
127,武汉玩伴网络科技有限公司,609
128,霍尔果斯弘贯网络科技有限公司,25
129,新疆楚汉互娱,8
130,暴走,7
131,北京赞成科技发展有限公司,12
132,嘉泽无限,15
133,广州八九游网络科技有限公司,48
134,借了吗,5
135,备用金账户,11
136,杭州妥妥网络科技有限公司,7
137,上海中清龙图网络科技有限公司,8
138,海南易玩网络科技有限公司,26
139,猎人世界,2
140,成都超级梦网络技术股份有限公司,13
141,上海玄霆娱乐信息科技有限公司,41
142,上海欢溪软件技术发展有限公司,11
143,北京亿游科创信息科技有限公司,2
144,上海游民网络科技有限公司,13
145,深圳市新数时代科技有限公司,1
146,广州二十一网络科技有限公司,2
147,上海天琥教育培训有限公司,3
148,上海证大喜马拉雅网络科技有限公司,29
149,深圳皮克玩网络科技有限公司,16
150,上海墨白计算机科技有限公司,2
151,上海宽娱数码科技有限公司,11
152,北京上榜科技有限公司,1
153,上海飞淼网络科技有限公司,40
154,百度在线网络技术,36
155,上海广笑网络科技有限公司,2447
156,品众,1845
157,网络,8
158,网易,15
159,深圳市火煌圣火网络科技有限公司,183
160,上海赫曼德市场营销管理有限公司,1
161,浙江上士网络科技有限公司,7
162,深圳市蓝海梦想网络科技有限公司,116
163,上海猗国网络科技有限公司,16
164,广州名药汇医药有限公司,108
165,上海盟约信息技术有限公司,32
166,上海紫舜信息技术有限公司,44
167,封印猎人,5
168,连城德聚人和贸易有限公司,7
169,上海跨派网络技术有限公司,3
170,武汉团团互娱科技有限公司,93
171,广州佰花方化妆品有限公司,69
172,深圳市动能无线传媒有限公司,37
173,上海广圳网络科技有限公司,16
174,广州悦世界信息科技有限公司,24
175,北京网聘咨询有限公司,6
176,上海莉莉丝网络科技有限公司,251
177,广州欣美向贸易有限公司,3
178,上海流利说信息技术有限公司,31
179,厦门极致互动网络技术股份有限公司,4
180,中国光大银行股份有限公司广州分行,3
181,上海玖朔国际贸易有限公司,22
182,深圳市珍爱网信息技术有限公司,177
183,上海魔克信息科技有限公司,3
184,北京良市无际科技有限公司,11
185,疯狂动物园,2
186,华南,98
187,上海飞瞬网络科技有限公司,42
188,北京九州云动科技有限公司,41
189,深圳市洪泽泰科技有限公司,64
190,广州诗悦网络科技有限公司,252
191,上海推乐信息技术服务有限公司,75
192,广州掌竞信息科技有限公司,6
193,上海游窝信息科技有限公司,4
194,红酒,4
195,杭州庚赛电子商务有限公司,12
196,慈溪闪闪童馨贸易有限公司,6
197,上海游湛网络科技有限公司,27
198,湖南草花互动网络科技有限公司,68
199,武汉游戏群科技有限公司,51
200,杭州点望科技有限公司,16
201,四川峨边雪山玉芝食品有限公司,1
202,陌陌,159
203,账户,737
204,拉新,174
205,陌陌科技,47
206,深圳市来玩科技有限公司,3
207,时趣,45
208,猎豹清理大师,16
209,乘风,58
210,深圳市易思捷电子商务有限公司,14
211,上海连尚网络科技有限公司,4
212,点点互动,7
213,成都卓杭网络科技股份有限公司,24
214,中山市天下广告有限公司,3
215,海南元游信息技术有限公司广州分公司,2
216,江西菲凯信息技术有限公司,1031
217,上海浦东发展银行股份有限公司佛山分行,4
218,北京金刚互娱科技有限公司,1
219,广州市卓越里程教育科技有限公司,6
220,天戈文化传媒浙江有限公司,1
221,北京蜜莱坞网络科技有限公司,135
222,深圳市云海情天文化传播有限公司,12
223,爱财科技有限公司,4
224,北京屹品文惠科技有限公司,6
225,上海慕曲网络科技有限公司,6
226,上海领效信息科技有限公司,1
227,杭州游卡网络技术有限公司上海分公司,10
228,杭州贝嘟科技有限公司,24
229,苏州聚和网络科技有限公司,37
230,蓝月霸业,1
231,广州小希网络科技有限公司,14
232,路坦力计算机系统,1
233,深圳雷霆信息技术有限公司,97
234,广州炫动信息科技有限公司,6
235,海南玩的溜网络科技有限公司,26
236,上海冒游科技有限公司,1
237,上海弘贯网络科技有限公司,361
238,上海翼殿信息技术有限公司,511
239,厦门美图之家科技有限公司,6
240,托管,9
241,常熟龙啸之翼商贸有限公司,48
242,广州沙巴克网络科技有限公司,8
243,厦门鸿言科技有限公司,1
244,轻轻家教,2
245,审时,61
246,上海瑞玩网络科技有限公司,5
247,上海欢兽实业有限公司,50
248,深圳屠龙,47
249,上海趣侬网络科技有限公司,12
250,上海焰狐广告有限公司,13
251,深圳市丫丫玩网络科技有限公司,178
252,猎人,3
253,广州白里生物科技有限公司,6
254,行吟信息科技,4
255,淘集集,12
256,上海彼萌信息科技有限公司,14
257,北京每日优鲜电子商务有限公司,5
258,上海鹿漫动漫设计有限公司,6
259,深圳平安普惠小额贷款有限公司,2
260,霍尔果斯第一波网络科技有限公司,14
261,喀什尚河信息科技有限公司,1
262,深圳市大群网络科技有限公司,52
263,杭州迪塔贸易有限公司,8
264,创彩商城,10
265,合肥沐雅贸易有限公司,15
266,广州冰鸟网络科技有限公司,18
267,杭州支数商贸有限公司,24
268,广州汉方知己科技有限公司,2
269,海南昊动信息科技有限公司,25
270,杭州网易严选贸易有限公司,35
271,天津西瑞尔信息工程有限公司,3
272,淘宝,649
273,闲鱼,40
274,百合佳缘网络集团股份有限公司,6
275,杭州聚小溪网络技术有限公司,2
276,成都简乐互动环娱科技有限公司,2
277,明日决胜,3
278,北京微鲤科技有限公司,8
279,广州市品众电子科技有限公司,1
280,北京爱普优邦科技有限公司,20
281,广州会玩互娱网络科技有限公司,26
282,广州艾吉米信息科技有限公司,83
283,北京太和天下科技有限公司,1
284,北京新氧科技有限公司,5
285,致美纷享,6
286,南京大众,94
287,免费,66
288,上海晋展网络科技有限公司,3971
289,苏州工业园区丰游网络科技有限公司,14
290,上海小牛互娱智能科技有限公司,90
291,魔域,31
292,连读,77
293,北京小奥互动科技股份有限公司,7
294,海南九二玩网络科技有限公司,1
295,中国光大银行股份有限公司佛山分行,1
296,杭州硕一贸易有限公司,1
297,广州市采汇科技有限公司,97
298,合肥聚利金商贸有限公司,147
299,卓奥优效,3
300,小红书穿搭,13
301,广州盛明生物科技有限公司,1
302,手机助手,12
303,户,837
304,合肥棠之溪商贸有限公司,17
305,云锐,26194
306,厦门点触科技股份有限公司,21
307,广州云栈信息科技有限公司,7
308,温州后浪环保科技有限公司,30
309,上海华向文化传播有限公司,14
310,武汉手盟网络科技股份有限公司,113
311,深圳市星期天网络科技,2
312,温州布拉泽贸易有限公司,39
313,上海酷盛科技有限公司,217
314,上海淇毓信息科技有限公司,35
315,广州缘草汇生物科技有限公司,36
316,中信银行股份有限公司深圳分行,3
317,广州欣芝妍化妆品有限公司,7
318,上海汇姿化妆品有限公司,5
319,广州市兰媞斯贸易有限公司,3
320,福建鱼玩互动信息科技有限公司,2
321,上海点爱网络科技有限公司,45
322,杭州美天购电子商务有限公司,8
323,霍尔果斯灵犀互动信息科技有限公司,11
324,北京四三九九信息科技有限公司,1428
325,福州三六零网络小额贷款有限公司,21
326,深圳市卡小宝信息科技有限公司,4
327,南宁市致同小额贷款有限公司,5
328,广州拂堤花化妆品有限公司,1
329,珠海欢聚互娱科技有限公司,4
330,北京百度多酷科技有限公司,3
331,仙侠问道,3
332,卷瓜,32
333,东莞市金桔网络科技有限公司,1
334,北京小川科技有限公司,16
335,广州经典网络科技有限公司,20
336,北京点众快看科技有限公司,146
337,上海掌小门教育科技有限公司,36
338,西藏美第奇互联网小额贷款有限公司,4
339,海南畅酷网络科技有限公司,4
340,北京微游互动网络科技有限公司,8
341,杭州游卡网络技术有限公司,22
342,温州黑卡贸易有限公司,115
343,北京创锐文化传媒有限公司,41
344,互诚信息技术,4
345,直播,126
346,广州华多网络科技有限公司,16
347,温州顺昌鞋业有限公司,16
348,江苏卡盟网络科技有限公司,1
349,福州鸿禾物语电子商务有限公司,1
350,明日世界,10
351,上海垦丁网络科技有限公司,7
352,上海创文信息技术有限公司,412
353,深圳市第一波网络科技有限公司,26
354,上海彬捷网络科技有限公司,20
355,上海衣页信息科技有限公司,26
356,北京小步科技有限公司,13
357,上海齐家电子商务有限公司,9
358,广州亿邦兴嘉生物科技有限公司,1
359,广州未来互动网络科技有限公司,1
360,广州二三四五互联网小额贷款有限公司,14
361,北京小步科技皮皮搞笑,1
362,北京微赢互动科技有限公司,6
363,广州多融信息科技有限公司,7
364,上海剑声网络科技有限公司,10
365,赫兹,80
366,深圳市国诚投资咨询有限公司,2
367,厦门柚子家信息科技有限公司,7
368,金牛区桃纱商贸部,1
369,长沙硕明网络科技有限公司,112
370,厦门保优网络科技有限公司,3
371,上海筱水网络科技有限公司,1
372,悦头条,1
373,深圳市鑫星互动科技有限公司上海分公司,1
374,合智源,1
375,上海贝嘟信息科技有限公司,14
376,成都西山居世游科技有限公司,109
377,杭州麦王科技有限公司,4
378,广州乐牛软件科技有限公司,4
379,上海谦问万答吧云计算科技有限公司,4
380,畅效,102
381,闪电盒子,16
382,南昌市如玩信息技术有限公司,15
383,广州市鸿衍科技有限公司,160
384,广州卓趣科技有限公司,30
385,武汉灵动在线科技有限公司,6
386,真假英雄,2
387,上海聊聊网络科技有限公司,1
388,北京安凡娱乐科技有限公司,1
389,北京贞观雨科技有限公司,42
390,广州昊海网络科技有限公司,149
391,北京普可汉贸易有限公司,3
392,北京天马时空网络技术有限公司,27
393,走遍世界,1
394,茵侨旅游文化,1
395,修真,17
396,深圳点猫科技有限公司广州分公司,6
397,上海季娱网络科技有限公司,38
398,重庆灵玩,24
399,北京瘦啦美啦健康管理科技有限公司,3
400,广州甲壳虫网络科技有限公司,6
401,广东新群大药房有限公司聚德西分公司,4
402,陌陌信息技术,8
403,北京接力文化艺术有限责任公司,1
404,北京福运佳保洁服务有限公司,1
405,北京米连科技有限公司,19
406,深圳市魔法森林网络科技有限公司,1
407,上海风创信息咨询有限公司,3
408,优酷信息技术,9
409,珐菲琦,12
410,广州热玩科技有限公司,7
411,广州米壳信息科技有限公司,8
412,海南尤达,2
413,北京灵动时空科技有限责任公司,20
414,北京星合之星网络科技有限公司,1
415,上海乂学教育科技有限公司楼然,10
416,光橙,3
417,广州安悦网络科技有限公司,1
418,上海奥阁米网络科技有限公司,24
419,广州硕星信息科技股份有限公司,14
420,武汉市叭咕叭咕视讯科技有限公司,2
421,上海旭梅网络科技有限公司,66
422,北京能量盒科技有限公司,18
423,海南奇遇天下网络科技有限公司,9
424,剑舞,5
425,北京顶当互动科技有限公司,7
426,广州萌友网络科技有限公司,6
427,平安健康,23
428,黑马天地,1
429,芜湖游趣网络科技有限公司,6
430,北京奇才天下科技有限公司,5
431,杭州递金网络科技有限公司,12
432,华讯股票,1
433,上海乂学教育科技有限公司,18
434,广州金池信息技术有限公司,136
435,上海辰冰网络科技有限公司,3
436,杭州朗和科技有限公司,3
437,全能保,1
438,上海冠航网络科技有限公司,113
439,上海垚亨电子商务有限公司,71
440,上海融励科技有限公司,4
441,中国平安保险,67
442,广东趣炫网络股份有限公司,7
443,上海七猫文化传媒有限公司,2
444,深圳市飞鸟与鱼科技开发有限公司,22
445,广州鑫晨网络科技有限公司,712
446,上海聪盛,2
447,信游火焰,1
448,鄱阳县伟如信息技术有限公司,143
449,深圳欣欣互动科技有限公司,2
450,魔力红,1360
451,开运宝,5
452,天门印杭商贸有限公司,2
453,上海齐屹信息科技有限公司,28
454,宁夏艾科思贸易有限公司,1
455,广州霏鱼网络科技有限公司,381
