,word,count
0,广州,33165
1,多趣,1062
2,信息技术,9887
3,LA12,6
4,互爱,38
5,互动,2842
6,北京,15407
7,科技,34567
8,yw08,2
9,上海,30459
10,广宴,3619
11,网络科技,41668
12,KA139,8
13,HC,51
14,纳山纳草,2
15,生物科技,684
16,LA03,9
17,江苏,1284
18,三九,701
19,互娱,3774
20,F3,5
21,LA18,2
22,水杯,3
23,安吉,8
24,不无,1
25,竹,8
26,家居用品,13
27,LT01,17
28,游跃,39
29,LA121,1
30,湖州,125
31,无天,1
32,电子商务,5180
33,HBDS02,1
34,F9,21
35,F13,1
36,F15,1
37,游辰,72
38,网络,4107
39,010,240
40,温州,1002
41,拉吉,51
42,商贸,4377
43,HBDS03,1
44,游讯,24
45,信息,12754
46,LA17,3
47,优矩,13890
48,金山,128
49,安全软件,34
50,04,3432
51,涂游,9
52,在线,751
53,/,3855
54,创彩,25
55,平安,393
56,信用卡,114
57,03,4280
58,yw11,2
59,猎人,18
60,传奇,506
61,05,2877
62,深圳市,5103
63,海角,76
64,网路,82
65,102,263
66,百度,83
67,小额贷款,498
68,KA04,173
69,探探,607
70,文化,7189
71,发展,1048
72,剧星,3708
73,10,3984
74,漫鲸,2606
75,柠游,162
76,7,2961
77,浙江,409
78,阿拉丁,3
79,股份,1887
80,完美,104
81,世界,248
82,软件,1194
83,56,574
84,cf,163
85,快读,28
86,54,506
87,111,315
88,星影幻,5
89,初见,18
90,75,397
91,4,4333
92,黑桃,23
93,科技股份,1149
94,KA12,66
95,6,4008
96,即果,5
97,YK01,2
98,韦博,3
99,传播,906
100,lr1,27
101,淘友,56
102,天下,547
103,lm3,2
104,思进,176
105,108,190
106,LA25,2
107,分期,54
108,乐,2211
109,—,2790
110,武汉,4214
111,快游,387
112,16,2331
113,创超,512
114,zq04,67
115,推,1808
116,lr26,6
117,搜尔,1
118,JM,269
119,深圳,2339
120,君银,28
121,证券,211
122,投资,770
123,咨询,850
124,顾问,165
125,长沙,860
126,分公司,2087
127,19,2063
128,pdd140,1
129,派瑞,4665
130,杭州,5095
131,龙泰,24
132,38,975
133,寻梦,179
134,42,871
135,昆达,2
136,天元,3
137,srp01,75
138,汇众,380
139,150,119
140,LA135,2
141,厦门,850
142,邮,3
143,速达,5
144,商务,65
145,服务,582
146,KA02,333
147,上饶市,36
148,合游,25
149,一,247
150,23,1478
151,陌陌,537
152,45,733
153,赢众通,11
154,金融信息,141
155,有限责任,615
156,公司,664
157,JX2,1
158,lr2,27
159,KA01,466
160,熊猫,174
161,客,148
162,Q2,6
163,极游控,147
164,KA31,41
165,天津,818
166,亚克,5
167,5,4301
168,那片海,1
169,Q1,9
170,优视,32
171,中国,836
172,微米,25
173,欧派,166
174,家居,252
175,集团股份,158
176,lr3,30
177,15,2457
178,47,757
179,盐城,3
180,蓝杰,2
181,x,12
182,qb4,1
183,米缘,163
184,璞毅,7
185,127,129
186,喜大,1
187,A,853
188,26,1416
189,北鱼,3
190,KA32,36
191,JM6,2
192,44,713
193,pdd137,1
194,20,2146
195,yw16,1
196,琴莞,15
197,贸易,3443
198,DS03,52
199,咚漫,7
200,娱乐,726
201,pdd132,1
202,三七,138
203,翰融,4
204,商城,16180
205,啃,2
206,鱼,475
207,D,454
208,KA03,221
209,KA11,72
210,KA06,123
211,11,2827
212,力隆,3
213,开润,3
214,LA13,3
215,联粤,28
216,14,2471
217,淘进,327
218,KA412,1
219,源,48
220,创达,4
221,17,2212
222,KA411,1
223,魅惠,8
224,所,12
225,微,253
226,分享,32
227,成都,2905
228,猫,106
229,狼,18
230,002,763
231,致奥,2
232,传媒,675
233,zshu,1
234,爱,1112
235,空间,29
236,海南,12048
237,创梦,69
238,天地,84
239,zq25,46
240,猎豹,151
241,安全,117
242,大师,997
243,品效,144
244,KA24,48
245,LT,249
246,聚市,343
247,LA15,2
248,青稞,205
249,cf04,1
250,三国志,121
251,2017,23
252,广东,1170
253,星辉,216
254,天拓,307
255,星期天,45
256,073,24
257,HKA30,6
258,87,205
259,米娅,122
260,HBKA24,1
261,龙玩文创,22
262,激战,6
263,红名村,2
264,12,2938
265,众娱,17
266,数融,23
267,互联网,228
268,JM35,1
269,爪游,56
270,KA57,19
271,22,1636
272,068,28
273,柠檬,390
274,微趣,32
275,玩,915
276,嗨,1303
277,YQ,12
278,新疆,18
279,楚汉,14
280,DT5,1
281,KA67,18
282,头条,4787
283,IOS,1079
284,站,1646
285,内,1598
286,34,929
287,LA33,1
288,25,1429
289,万圣,3092
290,慕可,387
291,营销,66
292,NSMM,1
293,100,279
294,号,1623
295,龙谷,121
296,KA09,103
297,搜狐,9
298,新,1612
299,媒体,36
300,HBKA59,1
301,XY,242
302,痘,15
303,博士,23
304,07,2027
305,KA05,158
306,KA17,46
307,78,424
308,KA59,22
309,魔兔,16
310,59,607
311,HBKA78,1
312,邑,43
313,世,37
314,LA44,2
315,069,23
316,075,63
317,HBKA58,1
318,059,21
319,赣州,9
320,快乐,600
321,生活,194
322,KA61,25
323,嘉趣,13
324,KA10,84
325,LA41,2
326,HBKA98,1
327,51,643
328,马一,14
329,DS08,36
330,HBKA84,1
331,66,517
332,33,1027
333,37,960
334,点游,1446
335,KA69,17
336,31,1158
337,HBKA34,1
338,18,2317
339,91,187
340,HBKA32,1
341,萨摩耶,13
342,金融服务,68
343,骏,47
344,比高,35
345,KA104,12
346,橙子,450
347,匠,30
348,文化传媒,1363
349,srp07,17
350,默契,2
351,破冰,2
352,21,1908
353,KA46,30
354,宁波,403
355,海曙蕾恩,2
356,美容院,14
357,lr5,16
358,安徽,659
359,尚趣,105
360,KA102,15
361,魅拓,5
362,KA146,7
363,平安保险,145
364,集团,321
365,普惠,56
366,融资,32
367,担保,32
368,13,2618
369,硬通,42
370,HKA37,7
371,HKA02,16
372,图灵,38
373,HBKA49,1
374,润物,10
375,盟诚,9
376,HKA36,7
377,观眇,1
378,KA,227
379,HKA26,5
380,变形金刚,2
381,iOS,547
382,摩邑诚,5
383,玩伴,661
384,霍尔果斯,223
385,弘贯,421
386,LA34,2
387,KA66,15
388,W4,3
389,KA20,56
390,暴走,73
391,cb2,4
392,W5,3
393,DS12,37
394,赞成,12
395,HBKA09,1
396,嘉泽,15
397,无限,82
398,八九,48
399,游,1758
400,JM36,1
401,24,1435
402,lt6,1
403,HBKA96,1
404,KA45,25
405,HBKA77,1
406,HBKA76,1
407,借,6
408,了,120
409,吗,7
410,备用金,109
411,账户,3356
412,妥妥,7
413,HBKA70,1
414,JM3,3
415,lt4,1
416,KA26,42
417,HBKA95,1
418,89,238
419,中清龙图,27
420,hjl11,1
421,KA54,21
422,KA15,64
423,易,158
424,超级,210
425,梦,76
426,技术,1401
427,HBKA71,1
428,KA29,36
429,84,219
430,玄霆,43
431,KA44,27
432,001,1375
433,欢溪,12
434,软件技术,33
435,F,382
436,KA48,25
437,KA111,10
438,亿游,2
439,科创,3
440,39,966
441,HKA23,5
442,游民,39
443,HKA03,15
444,KA56,23
445,HBKA93,1
446,005,379
447,新数,2988
448,时代,408
449,HBKA03,2
450,二十一,3
451,004,380
452,天琥,3
453,教育,3482
454,培训,251
455,KA64,19
456,证大,30
457,喜马拉雅,120
458,皮克玩,17
459,墨白,2
460,计算机,123
461,宽娱,11
462,数码科技,43
463,lr,211
464,上榜,1
465,NSXMN,7
466,73,378
467,飞淼,40
468,LA145,2
469,KA149,6
470,广笑,2447
471,KA07,117
472,06,2429
473,67,453
474,Lt,3
475,品众,2264
476,脉脉,11
477,AA,76
478,A008,5
479,网易,603
480,8,2812
481,火煌,185
482,圣火,183
483,赫曼德,1
484,市场营销,1
485,管理,782
486,上士,242
487,KA35,32
488,蓝海,121
489,梦想,124
490,9,3042
491,G,347
492,53,556
493,HBKA110,1
494,HBKA156,1
495,Lm,6
496,猗国,16
497,29,1410
498,HBKA139,1
499,名药,108
500,汇,174
501,医药,499
502,盟约,32
503,HAK08,1
504,A005,4
505,紫舜,50
506,封印,7
507,09,1706
508,连城,8
509,德聚人,7
510,和,436
511,DS06,40
512,077,25
513,HBKA128,1
514,跨派,3
515,DS05,39
516,DS07,34
517,KA68,16
518,HKA67,2
519,lr4,24
520,团团,119
521,佰花方,69
522,化妆品,871
523,QW5,1
524,动能,64
525,无线,89
526,A017,2
527,48,713
528,广圳,16
529,Q5,1
530,HBKA137,1
531,32,1076
532,悦,157
533,zxlm,9
534,scd,1
535,qd9,1
536,LA151,2
537,LA51,1
538,HBKA121,1
539,网聘,6
540,HBKA149,1
541,莉莉丝,251
542,AFK,137
543,HBKA127,1
544,LA149,2
545,HKA66,2
546,欣美向,3
547,流利,43
548,说,97
549,LR6,1
550,极致,87
551,DS17,22
552,中国光大银行,51
553,分行,43
554,ZM,17
555,HBKA146,1
556,DS18,26
557,HBKA120,1
558,玖,429
559,朔,22
560,国际贸易,154
561,DS047,2
562,0102,10
563,珍爱,185
564,网,1163
565,003,555
566,HBKA165,1
567,魔克,3
568,良市,11
569,无际,11
570,JY1,7
571,HBKA239,1
572,疯狂,1313
573,动物园,19
574,华南,195
575,HBKA224,1
576,飞瞬,89
577,九州,158
578,云动,43
579,0136,2
580,洪泽,83
581,泰,112
582,KA16,58
583,HBKA227,1
584,080,27
585,诗悦,267
586,L17,4
587,HBKA407,1
588,L22,22
589,KA301,3
590,推乐,75
591,掌,55
592,竞,15
593,LA49,1
594,游窝,4
595,红酒,7
596,庚赛,12
597,LT13,2
598,090,19
599,HBKA229,1
600,慈溪,6
601,闪闪,7
602,童馨,6
603,DS40,15
604,游湛,218
605,湖南,758
606,草花,556
607,游戏,306
608,群,103
609,KA65,17
610,点望,16
611,四川,629
612,峨边,1
613,雪山,2
614,玉芝,1
615,食品,289
616,106,188
617,拉新,225
618,来,556
619,时趣,46
620,andr,37
621,082,26
622,KA74,15
623,L11,22
624,清理,2281
625,乘风,80
626,40,964
627,W2,10
628,HKA93,2
629,HKA94,2
630,易思捷,14
631,XQ04,1
632,HBKA415,1
633,HBKA185,1
634,K3,2
635,连尚,9
636,Q3,1
637,L35,1
638,LA61,1
639,qk01,9
640,HBKA231,1
641,KA08,99
642,HBKA232,1
643,点点,1377
644,L27,1
645,HBKA237,1
646,092,23
647,卓杭,24
648,zq19,44
649,L16,8
